ID	Log2fc_(FLT)v(GC)	Stat_(FLT)v(GC)	P.value_(FLT)v(GC)	Adj.p.value_(FLT)v(GC)
AT1G03850	-1.213614903	-3.444626015	0.00057185	0.006383681
AT1G03860	0.201422102	1.151490042	0.24953069	0.475602615
AT1G03870	0.318558495	1.219406337	0.222690006	0.445873406
AT1G03880	-0.144045764	-0.237713681	0.812103172	0.904908697
AT1G03890	0.398004942	0.54552715	0.585391013	0.767750263
AT1G03900	-0.338213874	-2.105055928	0.03528644	0.131581828
AT1G03905	0.299194564	1.095320686	0.273376168	0.503490861
AT1G03910	-0.360590587	-1.50113405	0.133320893	0.322203813
AT1G03920	0.050412126	0.175591947	0.860614529	0.931221665
AT1G03930	0.000673604	0.004805447	0.996165822	0.998483385
AT1G03940	0.033546495	0.149895996	0.880846671	0.942777141
AT1G03950	-0.348296364	-1.295164914	0.195263346	0.409519673
AT1G03960	0.106736972	0.733685321	0.463140547	0.675737873
AT1G03970	-0.660708138	-3.33090881	0.00086563	0.008775107
AT1G03980	0.358974248	0.724071383	0.469021912	0.679650874
AT1G03990	-0.251007143	-0.470950239	0.63767627	0.80291922
AT1G03993	-1.693374477	-0.499516729	0.617415404	0.789196713
AT1G03997	-0.366877217	-0.327296174	0.743443886	NA
AT1G04000	0.072543717	0.344093582	0.730775909	0.859703759
AT1G04007	0.194481401	0.389445036	0.696946962	0.839562527
AT1G04010	0.41150751	2.139150259	0.032423501	0.1240067
AT1G04013	2.731385237	1.806902169	0.070777534	NA
AT1G04017	0.607609329	0.620006457	0.535253536	NA
AT1G04020	0.730231416	2.298186373	0.021551184	0.093160218
AT1G04023	-0.54734994	-0.420300619	0.674265858	NA
AT1G04030	-0.953150602	-4.485623674	7.27009614955648e-06	0.000217962
AT1G04033	-1.051559547	-0.596653304	0.550738875	NA
AT1G04037	0.320095851	0.191285934	0.848301581	NA
AT1G04040	0.271766257	1.552859083	0.120456804	0.301884526
AT1G04047	0.360589907	0.749799054	0.453375739	0.667750479
AT1G04050	0.309412743	1.237525863	0.215891919	0.436769419
AT1G04053	-0.196500584	-0.384005135	0.700974642	0.842030893
AT1G04067	-0.118855606	-0.137548362	0.890597369	0.947854515
AT1G04070	0.093410049	0.505412574	0.613269089	0.786402765
AT1G04077	-0.488659709	-1.539794217	0.123610522	0.307243461
AT1G04080	0.154375834	0.902836731	0.366612553	0.595426911
AT1G04083	-0.946948245	-0.600687701	0.548048012	NA
AT1G04090	-0.053206156	-0.180044161	0.857117899	0.929949432
AT1G04093	0.180297109	0.112068541	0.910769061	NA
AT1G04097	-1.33186493	-0.878261728	0.3798017	NA
AT1G04100	-0.350093506	-0.69147328	0.489268166	0.69526166
AT1G04103	0.66703434	0.568106243	0.569962829	0.756169321
AT1G04105	-0.866363002	-1.045210651	0.295925622	0.526655657
AT1G04110	1.582290768	4.707430459	2.50858816904417e-06	9.64666177732439e-05
AT1G04117	-0.28579948	-1.099766903	0.271433696	0.501028052
AT1G04120	-0.418554969	-2.869484513	0.004111415	0.028124687
AT1G04123	-1.783893546	-1.377553524	0.168341179	NA
AT1G04127	-3.324657248	-1.190319115	0.233920991	NA
AT1G04130	0.273120043	1.399918734	0.161537655	0.363846796
AT1G04133	1.241276615	1.8821126	0.059820729	0.190029671
AT1G04140	-0.35184487	-2.557998289	0.010527661	0.055702987
AT1G04143	0.237809501	0.09504295	0.924280712	NA
AT1G04147	-1.646359948	-1.085443984	0.277725061	NA
AT1G04150	-0.674336242	-1.125309866	0.26045775	0.487807886
AT1G04153	-0.404117146	-0.2524728	0.800675636	NA
AT1G04160	0.452137302	1.805925343	0.070930002	0.213092264
AT1G04170	0.205511276	1.401657717	0.161017483	0.363132196
AT1G04180	-0.328730951	-1.173341736	0.240658792	0.465888259
AT1G04183	-0.21990912	-0.176313814	0.86004741	0.931073012
AT1G04190	0.20069818	1.24031899	0.214857431	0.435347338
AT1G04200	0.266517986	1.695338036	0.090011313	0.248529932
AT1G04210	0.118414511	0.917258309	0.359007299	0.588480575
AT1G04217	-0.194008186	-0.214762335	0.82995262	NA
AT1G04220	0.784787471	2.477286558	0.013238556	0.065899812
AT1G04230	-0.197174045	-1.001922035	0.316381249	0.547094527
AT1G04233	-0.315420809	-1.479972104	0.138880691	0.330186402
AT1G04237	0.089049839	0.058930578	0.953007402	NA
AT1G04240	-0.114347475	-0.300460224	0.763826132	0.878475141
AT1G04247	0.841148123	2.089170471	0.036692381	0.135156465
AT1G04250	-0.335942352	-1.427571165	0.153415328	0.352445855
AT1G04253	-0.843520595	-0.481222133	0.630358632	NA
AT1G04257	-1.288326028	-0.54364702	0.586684397	NA
AT1G04260	-0.110522144	-1.08430418	0.278229953	0.508913463
AT1G04263	0.509909664	0.515595806	0.60613674	NA
AT1G04270	0.084297387	0.496524165	0.619524643	0.789979106
AT1G04273	1.932456819	1.365874106	0.171978482	NA
AT1G04277	0.260494464	0.09765827	0.922203653	NA
AT1G04280	-0.240791573	-1.082247982	0.279142353	0.509957454
AT1G04290	0.870827732	2.784339199	0.005363691	0.034357453
AT1G04295	0.549541966	0.993631187	0.320402455	0.551669858
AT1G04297	0.850574844	1.015303774	0.309961046	NA
AT1G04300	-0.76880078	-3.28525302	0.001018908	0.009943331
AT1G04303	-0.546561077	-0.20790014	0.83530694	NA
AT1G04307	-0.700157178	-0.733188599	0.463443408	NA
AT1G04310	-0.006647065	-0.04949682	0.960523372	0.983607388
AT1G04330	-0.539819384	-1.043107373	0.296898566	0.527842361
AT1G04337	3.587507355	2.067085953	0.038726055	NA
AT1G04340	0.202784656	1.155243728	0.247990633	0.474158088
AT1G04343	-0.088399147	-0.163996401	0.869733977	0.935995974
AT1G04347	-1.492477113	-1.257001203	0.2087532	NA
AT1G04350	-0.574201674	-2.162691555	0.030564911	0.118951599
AT1G04353	-0.105282038	-0.244485295	0.806854989	0.902448856
AT1G04357	0.05663277	0.068962133	0.945019761	NA
AT1G04360	-0.300554837	-0.756133348	0.44956925	0.665176074
AT1G04367	0.087940839	0.053193226	0.957577953	NA
AT1G04370	-0.984576306	-0.785880273	0.431937633	0.650422591
AT1G04380	0.162977868	0.238976481	0.81112382	0.904466817
AT1G04390	-0.120187525	-0.598420442	0.549559429	0.7418329
AT1G04393	0.479478371	0.523198454	0.600836157	NA
AT1G04397	0	0	1	NA
AT1G04400	-0.457289159	-3.141749494	0.001679417	0.014385724
AT1G04410	0.07602653	0.625811254	0.53143875	0.727888997
AT1G04413	-0.19316263	-0.159348655	0.873394189	NA
AT1G04420	0.547532899	2.977022872	0.002910623	0.021613675
AT1G04425	1.077948423	1.733715934	0.082968498	0.236377921
AT1G04427	-1.415344014	-1.863918813	0.062333106	0.195600178
AT1G04430	0.718034682	4.301265442	1.69825476905223e-05	0.00042806
AT1G04433	-0.074416175	-0.189199388	0.849936547	0.926443919
AT1G04437	-1.051948189	-0.656090199	0.51176609	NA
AT1G04440	-0.355229946	-1.806212736	0.070885116	0.213039947
AT1G04445	-0.536698112	-1.273311941	0.202907371	0.419113507
AT1G04447	-0.700121196	-0.45133037	0.651751459	NA
AT1G04450	-0.903426822	-0.848671916	0.396063878	NA
AT1G04467	-0.163688825	-0.163110242	0.870431636	NA
AT1G04470	-0.685955042	-0.799892981	0.423772805	0.644027835
AT1G04473	0.728402104	0.63180708	0.527512947	NA
AT1G04477	0.143557349	0.140675652	0.888126181	0.946605406
AT1G04480	0.43103907	2.64004752	0.00828944	0.046934492
